Organization - Name,Organization - Address,Geocoded Address,Latitude,Longitude,Organization - Locality,Organization - New Coverage,Organization - Used Coverage,Organization - Closed deals,Organization - Open deals
Plaza BMW,"11858 Olive Blvd, Creve Coeur, MO 63141, USA","11858, Olive Boulevard, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6709539,-90.4449335,Local,,,0,6
Plaza Infiniti,"755 N New Ballas Rd, Creve Coeur, MO 63141","Plaza Infinity, 755, North New Ballas Road, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6698798,-90.443948,Local,,,0,4
Plaza Land Rover,"11654 Olive Blvd, Creve Coeur, MO 63141","11654, Olive Boulevard, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6706842,-90.439719,Local,,,0,0
Plaza Mercedes-Benz,"11910 Olive Blvd, Creve Coeur, MO 63141","11910, Olive Boulevard, Creve Coeur, Saint Louis County, Missouri, 63141, United States of America",38.6711736,-90.4456972,Local,,,0,2
Porsche St. Louis,"2970 S Hanley Rd, St. Louis, MO 63143","2970, South Hanley Road, Maplewood, Saint Louis County, Missouri, 63143, United States of America",38.6096211,-90.3335962,Local,ShortCut,ShortCut,0,20
Pundmann Ford,"2727 W Clay St, St Charles, MO 63301","2727, West Clay Street, Saint Charles, Saint Charles County, Missouri, 63301, United States",38.7845129,-90.5218376,Local,ShortCut Pack,ShortCut Pack,0,6
Quality Buick GMC Cadillac,"1620 Homer M Adams Pkwy, Alton, IL 62002","Quality Buick GMC Cadillac, 1620, Homer M Adams Parkway, Sloan, Alton, Madison County, Illinois, 62002, United States of America",38.9202448,-90.1671305,Local,,,0,0
Quality CDJR Jerseyville,"1200 S State St, Jerseyville, IL 62052","1200, South State Street, Jerseyville, Jersey County, Illinois, 62052, United States of America",39.107091,-90.317233,Local,,,0,0
Rusty Drewing Cadillac,"2033 Christy Dr, Jefferson City, MO 65101","2033, Christy Drive, Jefferson City, Cole County, Missouri, 65101, United States of America",38.5499397,-92.2016708,,ShortCut Pack,ShortCut Pack,0,7
Rusty Drewing Chevrolet Buick GMC,"2033 Christy Dr, Jefferson City, MO 65101, USA","2033, Christy Drive, Jefferson City, Cole County, Missouri, 65101, United States of America",38.5499397,-92.2016708,Non-Local,,,0,18
Rusty Drewing Toyota,"2105 Christy Dr, Jefferson City, MO 65101, USA","2105, Christy Drive, Jefferson City, Cole County, Missouri, 65101, United States of America",38.5489233,-92.20303,,,,0,3
Sakelaris Ford Lincoln - Rolla,"1621 Martin Springs Dr, Rolla, MO 65401, USA","1621, Martin Springs Drive, Rolla, Phelps County, Missouri, 65401, United States",37.940904,-91.799282,,,,0,2
Schicker CDJR of Washington,"5824 MO-100, Washington, MO 63090, USA","5824, MO 100, Washington, Franklin County, Missouri, 63090, United States of America",38.545545,-91.0296297,Local,,,0,2
Schicker Ford of St. Louis,"3300 S Kingshighway Blvd, St. Louis, MO 63139","Schicker Ford of St. Louis, 3300, South Kingshighway Boulevard, North Hampton, Saint Louis, Missouri, 63139, United States of America",38.5992412,-90.2696862,Local,NA,NA,0,4
Serra Honda,"1268 Central Park Dr, O'Fallon, IL 62269, USA","Serra Honda, 1268, Central Park Drive, Glenview, O'Fallon, Saint Clair County, Illinois, 62269, United States of America",38.5825956,-89.9383136,Local,ShortCut,ShortCut Pack,0,22
South County DCJR,"7127 S Lindbergh Blvd, St. Louis, MO 63125","7127, South Lindbergh Boulevard, Saint Louis County, Missouri, 63125, United States",38.5081902,-90.3295901,Local,ShortCut Pack,ShortCut Pack,0,35
Spirit Lexus,"10176 Corporate Square Dr, St. Louis, MO 63132, USA","10176, Corporate Square Drive, 39 North, Creve Coeur, Saint Louis County, Missouri, 63132, United States",38.6798212,-90.4032839,Local,NA,Custom,0,29
Sunset Hills Subaru,"10100 Watson Rd, Sunset Hills, MO 63127","10100, Watson Road, Sunset Hills, Saint Louis County, Missouri, 63127, United States of America",38.555542,-90.3981166,Local,,,0,0
Suntrup Buick GMC,"4200 N Service Rd, St Peters, MO 63376","4200, North Service Road, Saint Peters, Saint Charles County, Missouri, 63376, United States of America",38.7979921,-90.5780065,Local,ShortCut,Flyout,0,30
Suntrup Ford Kirkwood,"10340 Manchester Rd, Kirkwood, MO 63122","10340, Manchester Road, Kirkwood, Saint Louis County, Missouri, 63122, United States",38.5998853,-90.3986889,Local,None,Flyout,0,24
Suntrup Ford Westport,"2020 Kratky Rd, St. Louis, MO 63114","2020, Kratky Road, Ascalon, Saint Louis County, Missouri, 63114, United States of America",38.6960762,-90.4045543,Local,None,Flyout,0,23
Suntrup Hyundai,"5926 S Lindbergh Blvd, St. Louis, MO 63123","5926, South Lindbergh Boulevard, Concord, Saint Louis County, Missouri, 63123, United States of America",38.5215717,-90.3462165,Local,Custom,NA,0,7
